team,match_1,match_2,match_3,match_4,match_5,avg_goals_scored,avg_goals_conceded,injuries,match_6,avg_conceded
Spain,"(3.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(4.0, 1.0)","(2.0, 1.0)",2.1666666666666665,0.5,1,"(2.0, 1.0)",0.5
England,"(1.0, 0.0)","(1.0, 1.0)","(0.0, 0.0)","(2.0, 1.0)","(1.0, 1.0)",1.1666666666666667,0.6666666666666666,0,"(2.0, 1.0)",0.6666666666666666
